Product,Product_Brand,Item_Category,Subcategory_1,Subcategory_2,Item_Rating,Date,Selling_Price
P-12014,B-3207,automotive,accessories spare parts,car bike care,3.1,25/2/2016,989.0
P-5736,B-1517,jewellery,rings,unknown,4.8,1/1/2019,21083.0
P-9332,B-2415,computers,laptop accessories,usb gadgets,1.0,29/12/2012,2998.0
P-8931,B-2307,jewellery,rings,unknown,2.2,1/1/2020,19584.0
P-201,B-3078,clothing,kids clothing,girls wear,2.1,20/12/2013,856.0
P-8108,B-3078,clothing,women s clothing,western wear,3.7,1/1/2015,489.0
P-8712,B-3078,kitchen dining,coffee mugs,prithish coffee mugs,1.9,1/12/2017,173.0
P-5209,B-1380,kitchen dining,cookware,pots pans,4.3,1/12/2012,489.0
P-2244,B-3078,clothing,women s clothing,ethnic wear,5.0,7/1/2018,617.0
P-12190,B-449,clothing,women s clothing,lingerie sleep swimwear,3.3,7/1/2018,337.0
P-6551,B-3078,clothing,women s clothing,western wear,1.2,1/12/2016,798.0
P-1565,B-304,baby care,baby bedding,baby blankets,3.1,12/12/2017,486.0
P-3061,B-789,jewellery,necklaces chains,necklaces,2.4,1/12/2012,393.0
P-4176,B-1080,jewellery,bangles bracelets armlets,bracelets,4.3,20/12/2012,451.0
P-12554,B-3078,bags wallets belts,bags,backpacks,3.3,12/12/2012,760.0
P-3156,B-2372,clothing,women s clothing,western wear,3.9,30/12/2012,396.0
P-4126,B-1067,automotive,accessories spare parts,car electronics accessories,4.1,1/12/2014,947.0
P-3127,B-808,home improvement,tools,hand tools,1.6,1/1/2015,890.0
P-5307,B-1417,jewellery,necklaces chains,necklaces,4.7,1/12/2017,348.0
P-5851,B-1527,home furnishing,kitchen dining linen,table covers,4.6,24/4/2020,491.0
P-8289,B-2182,furniture,pet furniture,unknown,3.9,29/12/2012,1143.0
P-3780,B-974,baby care,infant wear,baby girls clothes,5.0,10/5/2014,350.0
P-6687,B-1936,clothing,women s clothing,lingerie sleep swimwear,1.2,7/1/2018,283.0
P-8054,B-2131,automotive,accessories spare parts,car interior exterior,2.1,25/4/2017,1394.0
P-8725,B-3078,kitchen dining,coffee mugs,prithish coffee mugs,2.8,1/12/2016,215.0
P-11733,B-3149,automotive,accessories spare parts,car interior exterior,2.2,16/4/2020,442.0
P-7842,B-2086,clothing,women s clothing,western wear,1.4,25/3/2013,299.0
P-1705,B-3078,clothing,kids clothing,girls wear,5.0,6/1/2017,1987.0
P-5709,B-1517,jewellery,rings,unknown,4.4,1/1/2017,24057.0
P-2901,B-746,jewellery,necklaces chains,necklaces,2.8,1/12/2015,494.0
P-2048,B-3078,footwear,women s footwear,casual shoes,3.4,4/12/2012,1192.0
P-2336,B-555,pens stationery,office supplies,clairefontaine office supplies,1.6,31/12/2016,951.0
P-10593,B-2776,kitchen dining,kitchen tools,kitchen implements,1.1,1/12/2013,131.0
P-3707,B-3078,clothing,women s clothing,western wear,3.8,4/1/2014,690.0
P-5898,B-1551,clothing,women s clothing,lingerie sleep swimwear,3.7,28/4/2016,323.0
P-4009,B-1033,mobiles accessories,mobile accessories,mobile cables,3.3,20/6/2020,115.0
P-3439,B-889,home decor festive needs,showpieces,exotic india showpieces,4.9,4/1/2013,10885.0
P-3929,B-3078,clothing,men s clothing,t shirts,3.8,7/1/2020,703.0
P-7721,B-2054,clothing,kids clothing,boys wear,1.4,10/6/2019,989.0
P-8943,B-2307,jewellery,rings,unknown,1.4,1/1/2018,25573.0
P-3337,B-861,watches,wrist watches,esidon wrist watches,1.2,24/4/2017,445.0
P-10038,B-2638,jewellery,pendants lockets,silvesto india stone pendant,3.3,22/5/2016,540.0
P-10636,B-2787,footwear,men s footwear,casual shoes,4.3,17/5/2019,796.0
P-7178,B-3078,clothing,women s clothing,western wear,4.5,1/12/2012,870.0
P-9977,B-3231,clothing,women s clothing,lingerie sleep swimwear,2.7,7/1/2020,135.0
P-4490,B-3078,clothing,women s clothing,western wear,4.2,7/1/2014,489.0
P-8315,B-2355,furniture,pet furniture,unknown,2.8,29/12/2012,1295.0
P-4816,B-3078,clothing,men s clothing,t shirts,3.0,7/1/2016,695.0
P-8889,B-2301,jewellery,bangles bracelets armlets,bangles,3.0,12/12/2017,455.0
P-3437,B-889,home decor festive needs,showpieces,exotic india showpieces,4.6,3/1/2013,2747.0
P-72,B-9,sports fitness,outdoor adventure,cycling,3.2,23/4/2018,6690.0
P-4277,B-3231,clothing,women s clothing,lingerie sleep swimwear,1.6,7/1/2018,343.0
P-1642,B-3078,clothing,women s clothing,western wear,1.0,30/12/2018,324.0
P-3524,B-3078,footwear,women s footwear,heels,4.9,31/12/2017,951.0
P-2576,B-648,automotive,car bike accessories,car bike care,4.6,13/6/2017,459.0
P-547,B-3078,footwear,women s footwear,wedges,4.6,29/12/2017,692.0
P-6338,B-1655,eyewear,frames,lavish blink full rim rectangle frame 54 mm,2.0,19/3/2019,325.0
P-7627,B-3078,watches,wrist watches,noise wrist watches,2.2,7/1/2017,992.0
P-5419,B-1444,cameras accessories,camera accessories,lens hoods,2.2,29/12/2019,1373.0
P-7328,B-1961,home furnishing,bed linen,blankets quilts dohars,4.0,1/1/2013,1346.0
P-12496,B-3335,zevrr sterling silver swarovski zirconia platinu,unknown,unknown,2.6,3/4/2015,1063.0
P-11091,B-3231,clothing,women s clothing,lingerie sleep swimwear,2.0,7/1/2017,399.0
P-3584,B-922,baby care,baby bedding,baby mosquito nets,2.7,12/12/2019,954.0
P-2996,B-3078,footwear,women s footwear,wedges,3.1,29/12/2016,399.0
P-1962,B-3078,clothing,women s clothing,western wear,2.0,30/12/2018,391.0
P-5733,B-1517,jewellery,rings,unknown,1.5,1/1/2015,24437.0
P-290,B-79,adidas ind pro thi gua thigh guard white blue,unknown,unknown,2.5,10/6/2014,991.0
P-1439,B-255,tools hardware,tools,gardening tools,2.4,7/1/2020,346.0
P-5149,B-1366,home decor festive needs,candles fragrances,home fragrances,3.0,15/6/2016,389.0
P-7149,B-1907,clothing,women s clothing,ethnic wear,4.4,12/6/2020,2396.0
P-6978,B-3078,clothing,women s clothing,western wear,4.3,1/12/2013,757.0
P-10159,B-2695,computers,laptop accessories,adapters,4.3,11/3/2016,537.0
P-2984,B-3078,footwear,women s footwear,casual shoes,4.4,4/12/2014,497.0
P-9326,B-2415,mobiles accessories,tablet accessories,cases covers,3.3,1/1/2019,1550.0
P-5506,B-1466,jewellery,necklaces chains,necklaces,2.7,1/12/2013,293.0
P-12135,B-3078,beauty and personal care,fragrances,deodorants,1.3,1/12/2018,340.0
P-4004,B-1030,furniture,living room,sofas sectionals,3.1,31/12/2012,17997.0
P-4721,B-1256,home decor festive needs,wall decor clocks,wall decals stickers,3.0,29/12/2015,8098.0
P-7115,B-3078,footwear,women s footwear,casual shoes,1.7,1/12/2014,1321.0
P-8226,B-3078,clothing,women s clothing,western wear,4.8,12/12/2018,194.0
P-9948,B-2605,home furnishing,bed linen,blankets quilts dohars,2.7,12/12/2019,841.0
P-5510,B-1466,jewellery,necklaces chains,necklaces,3.3,1/12/2016,199.0
P-117,B-30,jewellery,necklaces chains,necklaces,2.0,1/12/2013,797.0
P-10491,B-2743,clothing,kids clothing,boys wear,1.8,21/4/2018,438.0
P-820,B-133,automotive,accessories spare parts,car interior exterior,2.8,1/12/2019,1598.0
P-12261,B-3269,mobiles accessories,mobile accessories,chargers,1.9,25/3/2017,263.0
P-3123,B-805,home furnishing,bed linen,blankets quilts dohars,5.0,12/12/2019,998.0
P-6079,B-1598,kitchen dining,tableware cutlery,tableware,2.0,11/3/2015,221.0
P-9104,B-2332,jewellery,rings,unknown,3.1,7/1/2014,27851.0
P-5508,B-1466,jewellery,necklaces chains,necklaces,3.6,1/12/2017,249.0
P-3147,B-810,tools hardware,tools,gardening tools,1.6,7/1/2020,898.0
P-1138,B-2372,clothing,women s clothing,western wear,1.7,30/12/2013,296.0
P-4259,B-1105,jewellery,bangles bracelets armlets,bracelets,3.2,20/12/2017,446.0
P-10956,B-2902,clothing,men s clothing,accessories combo sets,1.8,3/6/2016,311.0
P-389,B-88,mobiles accessories,mobile accessories,car accessories,3.8,3/3/2018,164.0
P-9499,B-3078,clothing,women s clothing,winter seasonal wear,3.2,3/12/2014,2591.0
P-12047,B-3215,home decor festive needs,wall decor clocks,paintings,2.3,31/12/2012,1742.0
P-10715,B-2821,tools hardware,tools,gardening tools,1.4,7/1/2014,594.0
P-7691,B-3078,clothing,men s clothing,t shirts,4.2,13/12/2012,336.0
P-3076,B-793,furniture,living room,sofas sectionals,5.0,31/12/2016,31590.0
P-6141,B-2373,clothing,women s clothing,western wear,4.4,30/12/2013,446.0
P-1142,B-2372,clothing,women s clothing,western wear,4.3,30/12/2019,295.0
P-9211,B-2370,computers,laptop accessories,batteries,3.7,7/1/2015,2499.0
P-1228,B-199,clothing,kids clothing,girls wear,3.1,23/6/2017,294.0
P-6791,B-3078,clothing,women s clothing,western wear,1.5,1/12/2018,981.0
P-1886,B-405,jewellery,rings,unknown,4.8,1/1/2014,28821.0
P-4573,B-3078,clothing,kids clothing,girls wear,1.6,6/1/2013,1489.0
P-6297,B-1645,computers,laptop accessories,batteries,4.3,7/1/2016,1695.0
P-2187,B-502,mobiles accessories,mobile accessories,mobile body panels,4.7,20/6/2018,539.0
P-10897,B-2892,baby care,infant wear,baby boys clothes,4.4,21/6/2018,429.0
P-11220,B-2372,clothing,women s clothing,western wear,1.3,30/12/2012,367.0
P-2817,B-730,jewellery,necklaces chains,necklaces,4.5,10/3/2019,682.0
P-11486,B-3070,home decor festive needs,showpieces,ethnic,4.5,1/12/2018,490.0
P-6639,B-1741,kitchen dining,dinnerware crockery,cups saucers,1.5,14/6/2017,817.0
P-1739,B-368,cameras accessories,camera accessories,lens hoods,4.0,24/4/2013,5572.0
P-5453,B-1448,mobiles accessories,tablet accessories,cases covers,1.2,31/12/2017,445.0
P-2283,B-3078,toys school supplies,school supplies,geometry pencil boxes,1.3,1/12/2012,174.0
P-3203,B-3078,watches,wrist watches,elantra wrist watches,4.5,4/12/2018,941.0
P-1959,B-3078,clothing,women s clothing,western wear,4.0,1/1/2014,576.0
P-11519,B-3078,clothing,women s clothing,winter seasonal wear,3.0,6/1/2020,1616.0
P-1672,B-3078,clothing,kids clothing,girls wear,4.7,7/1/2019,697.0
P-2909,B-748,jewellery,bangles bracelets armlets,bracelets,2.1,20/12/2018,391.0
P-3927,B-3078,clothing,women s clothing,western wear,4.6,7/1/2019,290.0
P-10960,B-2904,watches,wrist watches,texus wrist watches,4.2,24/4/2016,354.0
P-6325,B-3078,clothing,women s clothing,western wear,3.9,7/1/2017,535.0
P-10783,B-2852,mobiles accessories,mobile accessories,cables,5.0,12/12/2015,593.0
P-3247,B-3078,beauty and personal care,fragrances,deodorants,3.5,1/12/2019,299.0
P-1282,B-211,arial morris women flats,unknown,unknown,4.3,24/4/2016,496.0
P-4491,B-1188,home decor festive needs,wall decor clocks,wall decals stickers,3.6,7/3/2017,238.0
P-5981,B-1569,mobiles accessories,mobile accessories,mobile pouches,1.4,5/3/2019,450.0
P-12139,B-3078,beauty and personal care,fragrances,deodorants,4.3,1/12/2014,353.0
P-6613,B-1820,clothing,women s clothing,lingerie sleep swimwear,4.2,7/1/2014,422.0
P-948,B-133,automotive,accessories spare parts,car interior exterior,2.7,1/12/2019,1372.0
P-3554,B-3078,clothing,women s clothing,western wear,3.4,6/1/2015,443.0
P-3626,B-938,jewellery,necklaces chains,necklaces,1.5,1/12/2016,495.0
P-2169,B-3078,footwear,women s footwear,casual shoes,5.0,4/12/2015,2289.0
P-7837,B-3078,clothing,women s clothing,accessories,4.6,1/1/2016,498.0
P-9166,B-2679,clothing,men s clothing,jeans,3.9,12/12/2014,3889.0
P-4587,B-1215,sunglasses,hh aviator sunglasses,unknown,2.3,10/6/2017,339.0
P-1452,B-258,mobiles accessories,mobile accessories,headphones,3.4,11/3/2013,116289.0
P-12229,B-3078,clothing,men s clothing,t shirts,4.5,15/12/2017,687.0
P-8982,B-2307,jewellery,rings,unknown,3.0,1/1/2017,37947.0
P-2304,B-545,baby care,infant wear,baby girls clothes,4.9,7/6/2013,792.0
P-10061,B-2650,clothing,women s clothing,ethnic wear,3.1,3/3/2016,1599.0
P-3627,B-939,footwear,women s footwear,casual shoes,3.8,2/4/2014,492.0
P-11987,B-3199,jewellery,necklaces chains,necklaces,3.1,1/12/2019,143.0
P-12440,B-3311,jewellery,necklaces chains,necklaces,2.1,1/12/2019,243.0
P-12020,B-3208,clothing,men s clothing,inner wear sleep wear,3.6,10/5/2020,588.0
P-7590,B-3078,clothing,women s clothing,western wear,4.5,1/1/2020,471.0
P-10925,B-2895,computers,network components,routers,4.8,1/12/2014,1397.0
P-6873,B-3078,watches,wrist watches,maxima wrist watches,5.0,7/1/2017,948.0
P-4855,B-1276,computers,computer peripherals,cpu,1.5,26/5/2018,6986.0
P-9318,B-3078,clothing,women s clothing,winter seasonal wear,4.3,20/12/2013,899.0
P-3000,B-768,toys school supplies,action figures,doctor who action figures,4.2,3/3/2016,4527.0
P-9636,B-3078,footwear,women s footwear,wedges,2.5,29/12/2012,392.0
P-3886,B-1000,clothing,women s clothing,western wear,3.7,12/5/2017,616.0
P-9998,B-3078,clothing,women s clothing,western wear,4.4,31/12/2017,1047.0
P-7288,B-3078,footwear,women s footwear,wedges,3.1,12/12/2015,952.0
P-7559,B-2372,clothing,women s clothing,western wear,1.1,30/12/2019,485.0
P-9618,B-2281,clothing,women s clothing,lingerie sleep swimwear,3.8,7/1/2013,545.0
P-9727,B-3078,beauty and personal care,body and skin care,face care,4.0,31/12/2015,1214.0
P-4885,B-1290,mobiles accessories,tablet accessories,cases covers,2.6,31/12/2014,348.0
P-713,B-133,automotive,accessories spare parts,car interior exterior,2.9,1/12/2017,1593.0
P-3043,B-786,jewellery,bangles bracelets armlets,bracelets,3.9,20/12/2018,353.0
P-10002,B-2622,clothing,women s clothing,ethnic wear,3.5,13/6/2016,948.0
P-9821,B-2565,clothing,kids clothing,boys wear,4.5,16/6/2020,875.0
P-3717,B-949,feet flow women flats,unknown,unknown,3.2,10/5/2018,1395.0
P-1997,B-430,clothing,women s clothing,fusion wear,1.2,1/6/2020,745.0
P-7503,B-2008,footwear,women s footwear,ballerinas,4.0,23/4/2014,293.0
P-2411,B-2281,clothing,women s clothing,lingerie sleep swimwear,3.2,7/1/2019,289.0
P-10290,B-2715,sonaxo men running shoes,unknown,unknown,2.8,2/4/2019,968.0
P-4033,B-1039,kitchen dining,coffee mugs,g g coffee mugs,1.2,23/3/2013,189.0
P-3955,B-1019,clothing,kids clothing,boys wear,1.9,28/4/2018,291.0
P-11643,B-3123,jewellery,bangles bracelets armlets,bangles,3.3,30/12/2013,398.0
P-7654,B-2044,kitchen dining,kitchen tools,kitchen implements,3.6,1/12/2013,699.0
P-11446,B-3051,bags wallets belts,wallets clutches,travel document holders card holders,4.8,14/6/2017,492.0
P-3324,B-860,jewellery,bangles bracelets armlets,bracelets,4.3,4/1/2018,91.0
P-8310,B-2183,furniture,pet furniture,unknown,3.6,29/12/2019,1596.0
P-3018,B-3078,footwear,men s footwear,casual shoes,4.6,12/12/2018,397.0
P-7586,B-2028,jewellery,rings,unknown,1.7,6/1/2013,17428.0
P-4884,B-1289,home entertainment,home audio,speakers,3.7,3/3/2018,290.0
P-317,B-86,jewellery,necklaces chains,necklaces,1.2,1/12/2018,819.0
P-9307,B-3231,clothing,women s clothing,lingerie sleep swimwear,3.9,7/1/2017,247.0
P-5750,B-1517,jewellery,rings,unknown,2.9,6/1/2016,35688.0
P-6542,B-3078,baby care,baby grooming,baby grooming combos,2.9,3/1/2015,2942.0
P-6137,B-1621,clothing,men s clothing,inner wear sleep wear,3.4,21/6/2019,347.0
P-8824,B-2679,clothing,kids clothing,boys wear,2.6,12/12/2017,841.0
P-5215,B-1384,home furnishing,living room furnishing,diwan sets,2.4,20/6/2013,1745.0
P-414,B-3078,beauty and personal care,fragrances,deodorants,4.9,1/12/2018,159.0
P-2329,B-3078,beauty and personal care,fragrances,deodorants,2.5,1/12/2018,513.0
P-4221,B-1087,kitchen dining,bar glassware,bar glasses,1.5,16/4/2013,796.0
P-9897,B-3078,pens stationery,school supplies,geometry pen pencil boxes,1.6,1/12/2014,240.0
P-12041,B-3215,baby care,baby kids gifts,stickers,1.0,1/12/2018,1424.0
P-5634,B-1502,clothing,women s clothing,fusion wear,1.9,6/4/2015,1097.0
P-7644,B-3078,clothing,men s clothing,t shirts,3.5,13/12/2014,589.0
P-1323,B-219,home furnishing,curtains accessories,curtains,4.8,3/3/2017,596.0
P-1877,B-405,jewellery,rings,unknown,4.5,6/1/2014,22637.0
P-6157,B-3078,footwear,women s footwear,casual shoes,4.5,1/12/2018,793.0
P-5836,B-1525,mobiles accessories,tablet accessories,cases covers,3.4,1/1/2016,640.0
P-3602,B-931,jewellery,accessories,brooches,3.6,28/2/2013,216.0
P-8264,B-3078,watches,wrist watches,perucci wrist watches,4.8,12/12/2019,390.0
P-11326,B-3000,clothing,women s clothing,lingerie sleep swimwear,4.2,23/4/2014,492.0
P-6783,B-1803,home furnishing,bath linen,towels,4.8,12/12/2018,599.0
P-9004,B-2307,jewellery,rings,unknown,3.5,1/1/2020,34025.0
P-3149,B-810,tools hardware,tools,gardening tools,4.7,7/1/2018,1399.0
P-515,B-2373,clothing,women s clothing,western wear,3.4,30/12/2012,310.0
